"","scores","predscores","tmhalfsc","opphalfsc","patt","ypa","comppct","int","ratt","ypr","sacks","sackyds","fum","fuml"
"2317",4.47213595499958,23,6,16,20,5.05,0.55,1,10,4.6,0,0,1,1
"2318",2.64575131106459,23.5,7,17,25,6.48,0.72,2,15,3,2,-15,1,1
"2319",4,21.75,6,14,25,4.12,0.52,1,17,4.76470588235294,2,-12,0,0
"2320",5.29150262212918,22,15,17,20,9.45,0.75,0,17,2.70588235294118,3,-19,2,1
"2321",3.60555127546399,19,3,9,12,6.08333333333333,0.416666666666667,1,17,4.29411764705882,0,0,0,0
"2322",4.79583152331272,20.25,10,13,19,6.73684210526316,0.473684210526316,0,18,2.88888888888889,2,-14,1,1
"2323",4.47213595499958,20.75,13,10,16,7.6875,0.6875,0,16,6.125,0,0,0,0
"2324",6.08276253029822,26,30,6,22,9.77272727272727,0.772727272727273,0,10,5.9,1,-7,0,0
"2325",4.24264068711928,19.75,10,14,17,7.70588235294118,0.764705882352941,0,12,4,1,-11,0,0
"2326",2.64575131106459,21.75,0,19,15,5.4,0.6,1,8,1.125,2,-14,1,0
"2327",5.09901951359278,23,16,13,21,7.47619047619048,0.904761904761905,0,15,3.26666666666667,1,-11,0,0
"2328",3.16227766016838,24,7,17,12,3.08333333333333,0.666666666666667,0,12,5.25,0,0,0,0
"2329",4.47213595499958,23.5,6,21,13,6.30769230769231,0.692307692307692,1,13,2.76923076923077,0,0,0,0
"2330",4,24.75,6,7,17,4.41176470588235,0.647058823529412,0,6,5.83333333333333,2,-4,1,0
"2331",2.44948974278318,24.5,6,20,23,4.26086956521739,0.521739130434783,0,14,1.35714285714286,1,-3,0,0
"2332",3.16227766016838,16.5,10,14,18,7.11111111111111,0.611111111111111,0,14,3.78571428571429,0,0,0,0
"2333",4.89897948556636,24.5,6,17,22,3.63636363636364,0.409090909090909,1,7,2.14285714285714,0,0,0,0
"2334",4,26,13,17,21,8.61904761904762,0.666666666666667,0,6,0.166666666666667,1,-9,0,0
"2335",5.65685424949238,25.5,17,9,23,5.39130434782609,0.739130434782609,1,15,3.73333333333333,0,0,0,0
"2336",4.69041575982343,26.5,7,17,16,9.6875,0.625,1,16,4.625,1,-8,1,1
"2337",5.3851648071345,19.25,19,0,21,5.52380952380952,0.714285714285714,0,17,3.88235294117647,1,0,0,0
"2338",4.24264068711928,19.75,3,3,18,4.61111111111111,0.555555555555556,0,12,1.58333333333333,0,0,1,0
"2339",5.47722557505166,20.5,20,14,14,6.07142857142857,0.642857142857143,0,17,5.29411764705882,3,-12,0,0
"2340",3,18,3,21,17,9.52941176470588,0.764705882352941,0,10,-0.6,3,-22,2,2
"2341",6.08276253029822,24.75,24,10,15,15.5333333333333,0.8,0,13,3.38461538461538,1,-9,0,0
"2342",3.16227766016838,18.25,3,6,13,5.53846153846154,0.461538461538462,0,10,4,1,-8,0,0
"2343",3.60555127546399,19.25,6,6,17,7.52941176470588,0.588235294117647,0,13,1.53846153846154,1,-1,0,0
"2344",5.56776436283002,22,15,7,10,12.6,0.7,0,20,3.75,0,0,0,0
"2345",4.89897948556636,22,7,14,14,6,0.785714285714286,1,15,3.13333333333333,1,-2,1,1
"2346",4.12310562561766,21.75,10,6,17,8.47058823529412,0.764705882352941,0,14,5.78571428571429,3,-15,0,0
"2347",4.12310562561766,22,3,10,11,4.27272727272727,0.545454545454545,0,8,2.375,1,-8,0,0
"2348",5.47722557505166,22.5,16,6,20,4.9,0.55,0,12,3.83333333333333,2,-16,0,0
"2349",5.74456264653803,24.25,12,3,18,11.2222222222222,0.777777777777778,0,17,3.05882352941176,0,0,0,0
"2350",3.60555127546399,13,7,20,17,6.17647058823529,0.705882352941177,0,7,4.57142857142857,1,-7,1,0
"2351",5.74456264653803,22.75,23,3,19,6.31578947368421,0.578947368421053,0,14,4.57142857142857,0,0,0,0
"2352",3.74165738677394,22,7,24,14,7.57142857142857,0.571428571428571,0,13,2.46153846153846,2,-15,0,0
"2353",4.12310562561766,18.5,14,13,17,4.58823529411765,0.529411764705882,0,16,4.125,0,0,0,0
"2354",4.47213595499958,21.5,7,3,21,6.19047619047619,0.666666666666667,1,18,4.55555555555556,0,0,0,0
"2355",2.44948974278318,23.75,6,14,23,4.1304347826087,0.565217391304348,0,5,5,0,0,1,0
"2356",3.46410161513775,21.75,12,6,15,8.66666666666667,0.6,0,14,6.71428571428571,1,0,0,0
"2357",5.56776436283002,21,21,9,24,7.875,0.708333333333333,0,9,3.33333333333333,1,-3,0,0
"2358",4.47213595499958,19.5,0,14,18,4.61111111111111,0.5,1,7,1.14285714285714,1,-10,1,0
"2359",4.35889894354067,26.75,6,3,17,5.70588235294118,0.647058823529412,0,14,2.21428571428571,0,0,0,0
"2360",5.47722557505166,21.75,18,14,30,6.86666666666667,0.633333333333333,1,9,4.77777777777778,0,0,0,0
"2361",4.58257569495584,19.5,13,21,16,7.5625,0.8125,0,14,5.85714285714286,1,-10,0,0
"2362",3.60555127546399,19.75,3,14,25,6.32,0.6,2,14,3.5,1,-9,0,0
"2363",6.16441400296898,22.75,21,0,18,9.22222222222222,0.777777777777778,0,15,2.6,1,-8,1,1
"2364",5.91607978309962,19.75,14,14,18,5.05555555555556,0.611111111111111,0,15,4.66666666666667,0,0,1,0
"2365",3.16227766016838,20.5,10,21,14,5.85714285714286,0.642857142857143,2,11,3.45454545454545,1,-5,0,0
"2366",5.19615242270663,23.25,10,0,22,8.72727272727273,0.636363636363636,0,14,4.71428571428571,2,-13,0,0
"2367",6.2449979983984,20.25,12,21,14,8.28571428571429,0.571428571428571,0,12,3.58333333333333,1,-9,0,0
"2368",4.47213595499958,18.25,10,10,14,11.5714285714286,0.785714285714286,0,13,4.53846153846154,1,-11,1,1
"2369",5.91607978309962,26.25,14,6,18,6.72222222222222,0.611111111111111,0,16,4,0,0,1,1
"2370",4.89897948556636,19.75,14,7,11,11.4545454545455,0.909090909090909,0,15,2.73333333333333,3,-25,0,0
"2371",5.74456264653803,23.75,16,7,27,7.03703703703704,0.740740740740741,0,16,3.9375,1,-5,0,0
"2372",3.87298334620742,18.5,0,12,8,0.875,0.25,0,4,1.5,2,-24,1,0
"2373",2.64575131106459,18,1,14,13,4,0.538461538461538,1,9,7.66666666666667,0,0,0,0
"2374",1.73205080756888,14.75,0,10,20,5.55,0.65,1,12,1.83333333333333,1,-3,1,0
"2375",2.82842712474619,17.5,1,27,14,5.42857142857143,0.428571428571429,1,9,1.66666666666667,2,-19,0,0
"2376",3.74165738677394,22.25,0,7,18,5.5,0.666666666666667,1,10,4.7,2,-13,0,0
"2377",4.89897948556636,22.75,17,11,22,8.90909090909091,0.863636363636364,0,15,2.8,2,-11,0,0
"2378",5.56776436283002,25,17,17,16,9.625,0.875,0,14,3.85714285714286,0,0,1,1
"2379",4.79583152331272,21,3,21,12,4.08333333333333,0.5,0,18,4.5,0,0,0,0
"2380",4.35889894354067,22.25,9,10,18,7.27777777777778,0.666666666666667,0,13,3.38461538461538,2,0,0,0
"2381",5.8309518948453,23.75,24,14,15,6.06666666666667,0.8,0,12,6.58333333333333,2,-6,1,0
"2382",4,19.75,3,10,14,6.35714285714286,0.642857142857143,1,17,7.23529411764706,3,-17,1,1
"2383",4.79583152331272,23,17,3,18,6.66666666666667,0.611111111111111,0,16,5.125,0,0,0,0
"2384",4.12310562561766,20,7,17,13,6,0.615384615384615,0,9,4.22222222222222,3,-20,0,0
"2385",6.16441400296898,25.75,21,7,21,7.47619047619048,0.571428571428571,0,14,6.71428571428571,2,-18,0,0
"2386",6.32455532033676,27.75,17,10,21,7.71428571428571,0.523809523809524,0,17,8.23529411764706,1,-4,0,0
