"","X1","h_scores","h_predscore","h_hlfscore","a_hlfscore","h_airya","h_yaca","h_psd","h_patt","h_comppct","h_ratt","h_rushsd","h_ypr","h_int_pct","h_sack_pct","h_sack_yd_pct","h_fum_pct","ot","a_scores","a_predscore","a_airya","a_yaca","a_psd","a_patt","a_comppct","a_ratt","a_rushsd","a_ypr","a_int_pct","a_sack_pct","a_sack_yd_pct","a_fum_pct"
"363",363,17,26.25,17,3,6.94444444444444,3.11111111111111,13.9958671585815,18,0.611111111111111,16,15.783570373968,8.4375,0,0,0,0,0,13,13.75,1.64285714285714,0.555555555555556,4.8904669170404,14,0.428571428571429,10,5.34415568635495,5.8,0,0.222222222222222,-1.27777777777778,0
"364",364,26,21.5,20,10,3.54166666666667,4.5,14.7668071616717,24,0.666666666666667,13,9.3099170894814,4.30769230769231,0,0,0,0,0,20,28,5.69565217391304,3.375,12.4572156689295,23,0.652173913043478,7,5.52175659716791,3.71428571428571,0.0869565217391304,0,0,0.0333333333333333
"365",365,13,21.75,3,20,1.07142857142857,3.5,6.52346193026031,14,0.428571428571429,6,1.67497927018682,3.16666666666667,0.142857142857143,0.0666666666666667,-0.533333333333333,0.0476190476190476,0,20,24.75,5.3,2.5,8.07387763097757,20,0.6,20,7.0871362340511,5.15,0,0.0476190476190476,-0.0476190476190476,0.024390243902439
"366",366,24,24.5,14,6,4,3,8.14160391358572,12,0.583333333333333,11,3.10424928708434,2,0,0.0769230769230769,-0.153846153846154,0,0,6,17,4.5,4.66666666666667,12.9270791364484,14,0.571428571428571,19,7.98613757405922,4.89473684210526,0.0714285714285714,0,0,0.0909090909090909
"367",367,20,21,7,17,4.35294117647059,2.76470588235294,7.93180813225544,17,0.529411764705882,16,4.03112887414927,3.5,0.0588235294117647,0.0555555555555556,-0.388888888888889,0,0,32,25.5,5.3125,6.70588235294118,26.0445961315264,16,0.5625,10,3.60693775937429,1.7,0.0625,0,0,0
"368",368,33,23.5,9,6,1.53333333333333,5.4,5.8,15,0.666666666666667,13,9.2031638501154,7.38461538461539,0,0.210526315789474,-1.26315789473684,0,0,20,21,2.5,1.53333333333333,6.30916441024923,12,0.5,17,5.22967312256303,4.94117647058824,0,0.0769230769230769,-0.538461538461538,0.0666666666666667
"369",369,6,22,3,0,2.16666666666667,2.66666666666667,5.59761854124889,18,0.5,18,2.77165992961476,3.38888888888889,0,0.142857142857143,-0.857142857142857,0,0,3,19,0.571428571428571,2.16666666666667,3.02305952453618,14,0.428571428571429,12,2.28977194400568,3.58333333333333,0,0.176470588235294,-1.52941176470588,0.0689655172413793
"370",370,34,28.5,17,7,3.76923076923077,3.76923076923077,9.87104351119982,13,0.615384615384615,11,25.6366860069996,10.8181818181818,0,0.0714285714285714,-0.785714285714286,0,0,7,14.5,1.53333333333333,5.23076923076923,5.55965126804031,15,0.8,13,10.4773635962963,4.61538461538461,0.0666666666666667,0,0,0.0357142857142857
"371",371,16,25.75,6,17,2,2.27272727272727,8.30903123113639,11,0.454545454545455,11,5.16984262113197,5,0,0.153846153846154,-1.07692307692308,0.0416666666666667,0,23,21.25,4.25,3.72727272727273,7.93032155716274,16,0.625,15,4.75815090134813,3.4,0.0625,0.111111111111111,-0.777777777777778,0
"372",372,62,31.5,34,7,3.72,6.68,13.6223772153664,25,0.84,17,4.48835478986713,4.82352941176471,0,0.0384615384615385,-0.115384615384615,0,0,7,17.5,1.84615384615385,1.72,3.63790805271381,13,0.615384615384615,12,12.0147478819435,7.75,0,0.0714285714285714,-0.357142857142857,0.0769230769230769
"373",373,27,21.25,10,21,3.2,3.35,8.67427550609015,20,0.6,11,6.43980390851812,5.72727272727273,0.05,0,0,0.032258064516129,0,21,22.25,5.41666666666667,1.35,7.24568837309472,12,0.666666666666667,15,7.13551368547181,4.46666666666667,0,0.0769230769230769,-0.538461538461538,0
"374",374,0,22.5,0,13,3.54545454545455,2,6.27271382860004,11,0.636363636363636,20,9.10549284772659,6.3,0.272727272727273,0.0833333333333333,-0.833333333333333,0.03125,0,28,19,4.15789473684211,4.18181818181818,6.71866771523705,19,0.578947368421053,11,4.12009788859079,2.54545454545455,0,0,0,0
"375",375,18,21,5,14,2.60869565217391,1.91304347826087,5.76461353698314,23,0.565217391304348,7,4.55801603815538,4.71428571428571,0.0434782608695652,0,0,0,0,24,23,4.78571428571429,1.21739130434783,6.2737050456648,14,0.571428571428571,18,10.0443461155462,7.66666666666667,0.0714285714285714,0,0,0
"376",376,7,23.25,0,20,2.53333333333333,1.26666666666667,8.25363247180245,15,0.466666666666667,9,0.916245694581702,1.77777777777778,0.0666666666666667,0,0,0.0416666666666667,0,41,20.75,4.72222222222222,9,19.6212660865765,18,0.722222222222222,18,5.06775085865832,4.61111111111111,0,0,0,0
"377",377,30,27.25,6,24,3.16666666666667,0.916666666666667,4.27849921766448,24,0.5,15,6.12970907411872,5.6,0.0416666666666667,0.111111111111111,-1,0.0238095238095238,0,27,15.75,4.66666666666667,2.91666666666667,20.3469899493758,12,0.5,12,2.77263412660235,3.25,0,0.2,-1.8,0.037037037037037
"378",378,10,20,3,24,3.08333333333333,0,5.88960949469487,12,0.333333333333333,12,8.83608447723815,6.58333333333333,0,0.2,-1.33333333333333,0.037037037037037,0,45,23.5,6.45454545454545,4.08333333333333,10.5502887993647,22,0.727272727272727,16,5.27375577743225,5.75,0,0.0833333333333333,-0.375,0
"379",379,20,26.75,10,14,4.57692307692308,2.57692307692308,5.15320827791344,26,0.692307692307692,8,5.7662812973354,4.5,0,0.037037037037037,-0.185185185185185,0.0285714285714286,0,17,16.75,3.18181818181818,1.38461538461538,6.71635131600484,11,0.727272727272727,16,8.73190092419743,5.5625,0,0.0833333333333333,-0.583333333333333,0
"380",380,34,26.25,24,0,6.35294117647059,4.64705882352941,7.41659741119628,17,0.764705882352941,19,8.23478198551913,7.36842105263158,0,0.105263157894737,-0.157894736842105,0.0263157894736842,0,7,23.25,3,0.705882352941177,3.46410161513775,8,0.5,7,8.85483840989242,10.8571428571429,0.125,0.272727272727273,-1.63636363636364,0
"381",381,25,24.5,17,10,3.21875,4,6.53071845617886,32,0.71875,9,5.2068331172711,5,0.03125,0.0588235294117647,-0.441176470588235,0,0,17,27.5,3.69230769230769,0.875,6.76387462923434,13,0.615384615384615,8,2.87228132326901,3.5,0,0.133333333333333,-1.4,0
"382",382,12,18,3,17,3.64705882352941,4.58823529411765,7.66811580507233,17,0.588235294117647,9,2.34652356466032,0.777777777777778,0,0.15,-0.8,0.0344827586206897,0,34,19.5,4.27777777777778,2.82352941176471,10.506689894747,18,0.722222222222222,13,3.31394757362123,3.30769230769231,0,0,0,0
"383",383,31,17.25,17,0,1.23076923076923,3.65384615384615,3.42681419915868,26,0.461538461538462,14,6.03095755080334,5.35714285714286,0,0.103448275862069,-0.862068965517241,0.0232558139534884,0,21,31.25,2.89473684210526,1.80769230769231,7.1343821234935,19,0.684210526315789,9,4.11261233851594,3.55555555555556,0.0526315789473684,0.136363636363636,-1.18181818181818,0
"384",384,27,25.5,20,0,3.59090909090909,3.27272727272727,9.96973197009606,22,0.681818181818182,14,3.97504973656472,2.35714285714286,0,0,0,0,0,10,18,2.63157894736842,1.72727272727273,6.79505993396474,19,0.473684210526316,11,3.82034570717285,4.63636363636364,0.0526315789473684,0.0952380952380952,-0.428571428571429,0.03125
"385",385,23,28,6,6,5.47619047619048,4.33333333333333,10.3401338166843,21,0.666666666666667,13,9.20380677608986,7.53846153846154,0,0,0,0.0294117647058824,0,13,17,3.25,0.952380952380952,7.75628777186613,12,0.416666666666667,16,4.65698400254929,4.75,0,0,0,0
"386",386,30,25.75,24,3,3.8,2.2,6.14817045957576,15,0.666666666666667,15,7.74768782713053,8.8,0.0666666666666667,0,0,0,0,12,15.25,2.66666666666667,1.46666666666667,3,12,0.5,12,1.49768339630095,2.08333333333333,0.0833333333333333,0.142857142857143,-0.642857142857143,0.0384615384615385
"387",387,3,22.25,3,14,5.33333333333333,1.53333333333333,7.6173940004456,15,0.6,20,3.71348892552543,3.9,0,0.210526315789474,-1,0,0,31,18.25,8.23076923076923,3.6,11.2467773161915,13,0.769230769230769,4,1.11803398874989,3.5,0,0,0,0
"388",388,27,29.75,17,3,4.04545454545455,4.36363636363636,6.27677655133848,22,0.772727272727273,11,12.1974120002619,9.36363636363636,0,0,0,0,0,16,20.75,3.71428571428571,3.68181818181818,14.8798521498031,14,0.714285714285714,12,4.97214463005877,3.33333333333333,0,0.0666666666666667,0,0.037037037037037
"389",389,24,25,17,7,5.78571428571429,4.07142857142857,13.6247074486473,14,0.5,13,5.01359099593856,5.69230769230769,0.0714285714285714,0.0666666666666667,-0.466666666666667,0.0357142857142857,0,38,17.5,1.47058823529412,1.64285714285714,9.59166304662544,17,0.352941176470588,16,7.49583217528247,4.25,0,0,0,0
"390",390,38,22.5,17,28,5.93333333333333,2.66666666666667,10.5645338278601,15,0.533333333333333,16,2.57087047515039,3.875,0.133333333333333,0,0,0.0645161290322581,0,45,28.5,5.35714285714286,1.46666666666667,3.8613109460677,14,0.857142857142857,9,7.85988408170106,9,0,0.222222222222222,-0.833333333333333,0
"391",391,11,16.5,3,13,1.15,3.15,3.52703841770968,20,0.5,12,4.53612046675228,3.91666666666667,0.05,0,0,0.03125,0,19,21,4.41666666666667,1.75,8.86174995386904,12,0.583333333333333,13,7.42616516070595,6.92307692307692,0,0.0769230769230769,-0.538461538461538,0
"392",392,17,27.5,3,17,1.54545454545455,2.45454545454545,5.8309518948453,11,0.363636363636364,8,5.84032319311183,4.875,0,0.214285714285714,-1.28571428571429,0,0,24,20.5,11.1818181818182,4.18181818181818,15.8779524813497,11,0.727272727272727,24,8.57797162633581,5.20833333333333,0,0,0,0.0285714285714286
"393",393,3,25.5,0,17,2.10526315789474,1.68421052631579,5.6,19,0.526315789473684,15,7.64373381709925,5.2,0,0.0952380952380952,-0.761904761904762,0.0555555555555556,0,30,22,3.21428571428571,4.21052631578947,11.852097798374,14,0.428571428571429,13,2.68460436409464,2.84615384615385,0,0,0,0
"394",394,37,22.75,19,6,6.8125,0.375,8.659351881059,16,0.5,15,4.4342104395509,2.26666666666667,0,0.0588235294117647,-0.352941176470588,0.0625,0,13,19.75,1.70967741935484,4.6875,5.91607978309962,31,0.516129032258065,10,4.25323406362735,4.9,0,0.0882352941176471,-0.5,0.0454545454545455
"395",395,17,18.25,10,17,5.58333333333333,0.166666666666667,13.8811923119017,12,0.333333333333333,15,3.46153466286591,3.46666666666667,0,0,0,0,0,24,22.25,4.59090909090909,6.16666666666667,8.31307060340178,22,0.636363636363636,13,4.6651166769404,5.07692307692308,0.0454545454545455,0.12,-0.76,0
"396",396,12,19.75,9,10,5.36842105263158,2.63157894736842,12.9578287318434,19,0.684210526315789,15,2.82370914460632,2.6,0,0,0,0,0,13,16.75,4.6,1.42105263157895,6.70820393249937,15,0.533333333333333,14,5.50556304929804,5.21428571428571,0.0666666666666667,0,0,0
"397",397,3,17.25,3,3,0.555555555555556,4.44444444444444,10.3077640640442,9,0.666666666666667,18,6.91214711777591,4.66666666666667,0.111111111111111,0.25,-2,0.0333333333333333,0,17,20.25,2,2.66666666666667,6.6332495807108,12,0.5,18,5.55333288871102,4.77777777777778,0.0833333333333333,0.0769230769230769,-0.230769230769231,0
"398",398,10,23,0,10,2.11111111111111,1.11111111111111,1.92028643696715,9,0.444444444444444,13,3.24538817072754,3.92307692307692,0,0.25,-0.916666666666667,0.04,0,17,19.5,0,0,0,4,0,29,6.29213502232113,5.82758620689655,0,0,0,0
"399",399,20,21,10,6,3.11764705882353,2.35294117647059,11.081967334368,17,0.588235294117647,13,3.45383758779133,2.61538461538462,0.0588235294117647,0.0555555555555556,-0.388888888888889,0.032258064516129,0,9,17,7.66666666666667,0.647058823529412,7.11978637493369,12,0.75,11,1.72966341731277,1.90909090909091,0.0833333333333333,0.142857142857143,-1.64285714285714,0
"400",400,16,24.75,9,13,5.875,2.6875,6.95772951471958,16,0.625,17,3.46310259518471,4.64705882352941,0,0.157894736842105,-1.26315789473684,0,0,37,22.25,5.04545454545455,5.1875,13.1011025829466,22,0.545454545454545,8,2.3946555075835,1.375,0,0,0,0.0666666666666667
"401",401,17,30.25,14,7,0.722222222222222,3.44444444444444,5.90668171555645,18,0.5,11,7.06171144943217,6.63636363636364,0,0.0526315789473684,-0.105263157894737,0,0,21,17.25,3.38888888888889,2.77777777777778,11.1964000911007,18,0.444444444444444,17,4.31862466893592,3.23529411764706,0.0555555555555556,0.0526315789473684,-0.368421052631579,0
"402",402,27,23.25,9,6,6.58823529411765,2.29411764705882,5.58954877924467,17,0.705882352941177,8,6.01560470775798,3.25,0.0588235294117647,0.0555555555555556,-0.444444444444444,0,0,20,19.25,2.55555555555556,4.41176470588235,5.67565130636822,18,0.722222222222222,11,2.53895273523072,3.09090909090909,0.0555555555555556,0,0,0
"403",403,22,16,19,7,4.5,4.0625,13.7989130006678,16,0.625,20,1.99749843554382,2.9,0,0,0,0,0,17,23,3.12,2.25,5.77997952118397,25,0.56,7,6.25316246521123,7.42857142857143,0,0,0,0.0625
"404",404,9,20.75,3,16,5.63157894736842,1.57894736842105,9.2633687176966,19,0.526315789473684,9,5.19496432336043,4.11111111111111,0,0.05,-0.4,0,0,37,24.75,5.5,8.21052631578947,29.3446947694317,12,0.75,15,4.08030499949316,3.53333333333333,0.0833333333333333,0.0769230769230769,-0.538461538461538,0.0357142857142857
